Tag,Quadrat,DBH,Latin,Date_Collected,Collected_By,Date_Mounted,Mounted_By,Date_First_Measured,First_Measured_by,Date_Second_Measured,Second_Measured_by,number_of_rings,Center,Duplicate,Notes
100954,1009,217.8,Liriodendron tulipifera,6/16/10,AC,6/28/10,JM,8/24/10,JM,,,89,1,0,"8/24/10, JM: 89 rings, 2009-1921."
100997,1012,123.6,Liriodendron tulipifera,3/8/11,MF,3/10/11,TB,3/30/11,JM,,,66,0,0,"3/30/11, JM: 66 rings, 2009-1946. End of core indistinguishably mounted, measured until I couldn't."
101118,1011,173.1,Liriodendron tulipifera,6/3/10,JM,7/12/10,CL,8/24/10,JM,12/9/10,JM,79,1,0,"8/24/10, JM: 70 rings, 2009-1940; 12/9/10, JM: 79 rings, 2009-1931. First section of core is twisted, so ring boundaries are estimated. Cannot find missing rings to improve correlation more, especially in consideration of the front section,"
110128,1101,713.4,Liriodendron tulipifera,10/19/10,CL,10/25/10,CL,11/4/10,JM,,,57,1,0,"10/29/10, JM: Tree recored because it was mounted improperly; 11/4/10, JM: 57 rings, 2008-1953."
110379,1102,752,Liriodendron tulipifera,6/16/10,JM,7/1/10,HB,11/8/10,JM,,,40,0,0,"11/8/10, JM: 40 rings, 2009-1970. Huge rings!"
110791,1104,634.6,Liriodendron tulipifera,6/14/10,JM,6/17/10,JM,8/23/10,JM,12/8/10,JM,85,1,0,"8/23/10, JM: 83 rings, 2009-1927; 12/8/10, JM: 85 rings, 2009-1925.  Re-measured, found two missing rings."
110798,1104,683.6,Liriodendron tulipifera,6/14/10,JM,6/17/10,JM,9/9/10,JM,,,77,0,0,"9/1/10, JM: Based on appearance of core, probably LITU. Definitely not a Quercus; 9/9/10, JM: 77 rings, 2009-1933. Added core to the LITU file."
110950,1106,282.8,Liriodendron tulipifera,6/8/10,JB,7/7/10,JM,8/23/10,JM,12/9/10,JM,73,1,0,"8/23/10, JM: 71 rings, 2009-1939; 12/9/10, JM: 73 rings, 2009-1937, improved correlation."
110952,1106,102.4,Liriodendron tulipifera,3/8/11,MF,3/10/11,TB,3/29/11,JM,,,82,1,0,"3/29/11, JM: 82 rings, 2009-1928."
111011,1107,165.1,Liriodendron tulipifera,6/8/10,JB,7/12/10,JM,8/24/10,JM,,,84,1,0,"8/24/10, JM: 84 rings, 2009-1926. Ring 1 is right along the bark border. Ring 11 and 12 are partials."
111014,1107,549.9,Liriodendron tulipifera,6/8/10,JB,6/17/10,JM,8/17/10,JM,12/8/10,JM,84,1,0,"8/17/10, JM: 83 rings, 2009-1927; 12/8/10, JM: 84 rings, 2009-1926. Note, did not find missing ring that was suggested, but added a ring to the front, huge improvement in correlation."
111030,1107,581.5,Liriodendron tulipifera,6/8/10,JB,7/1/10,HB,11/9/10,JM,,,87,1,0,"11/9/10, JM: 87 rings, 2009-1923."
111033,1107,128.8,Liriodendron tulipifera,3/8/11,JG2,3/10/11,TB,4/6/11,JM,8/11/11,JM,84,1,0,"4/6/11, JM: 84 rings, 2009-1926; 8/11/11, JM: Re-measured, still poor correlation. Mostly in the outer most rings, but no correlation is particularly better anywhere around it."
111051,1108,461,Liriodendron tulipifera,6/10/10,JM,7/1/10,JM,8/24/10,JM,,,87,1,0,"8/24/10, JM: 87 rings, 2009-1923."
111134,1108,550.4,Liriodendron tulipifera,6/8/10,JB,7/6/10,CL,8/24/10,JM,12/9/10,JM,90,0,0,"6/8/10, JB: collected as much sample as removable from corer; 8/24/10, JM: 88 rings, 2009-1922; 12/9/10, JM: 90 rings, 2009-1930. Huge difference if I add two ring to the beginning of the core, very plausible because there is no bark, looks like it is missing the first piece of core."
120898,1205,165.5,Liriodendron tulipifera,6/10/10,JT,7/1/10,HB,NA,NA,,,NA,NA,0,"8/24/10, JM: Rings were unevenly grown on tree- the sample we took has only 17 cores to the pith, but from the sample beyond the pith, there are clearly more rings. Got rid of core."
120924,1206,136.1,Liriodendron tulipifera,3/8/11,RO,3/10/11,TB,3/29/11,JM,,,72,0,0,"3/29/11, JM: 72 rings, 2009-1938."
121212,1207,816.2,Liriodendron tulipifera,8/9/10,JM,8/25/10,JM,11/4/10,JM,,,102,0,0,"Originally cored 6/10/10 by JT; 11/4/10, JM: 102 rings, 2009-1908."
121284,1209,616.2,Liriodendron tulipifera,6/10/10,JM,7/12/10,JM,11/8/10,JM,,,88,1,0,"11/8/10, JM: 88 rings, 2009-1922."
130579,1304,679,Liriodendron tulipifera,6/15/10,JM,6/17/10,JM,8/17/10,JM,,,87,0,0,"8/17/10, JM: 87 rings, 2009-1923."
131017,1308,205,Liriodendron tulipifera,6/10/10,JM,7/1/10,HB,8/23/10,JM,,,60,1,0,"8/23/10, JM: 60 rings, 2009-1950. Ring 60 is thin, difficult to see."
131047,1309,118.7,Liriodendron tulipifera,3/8/11,MF,3/10/11,RO,3/28/11,JM,8/9/11,,85,1,0,"3/28/11, JM: 85 rings, 2009-1925; 8/9/11, JM: Re-measured, can't find any problem areas but still poor correlation."
131080,1310,265.5,Liriodendron tulipifera,6/8/10,JM,6/28/10,JM,8/23/10,JM,,,80,1,0,"8/23/10, JM: 80 rings, 2009-1930."
140735,1407,228.5,Liriodendron tulipifera,6/10/10,JT,7/6/10,JM,8/24/10,JM,12/9/10,JM,70,1,0,"8/24/10, JM: 70 rings, 2009-1940; 12/9/10, JM: 71 rings, 2009-1939.  Found extra ring, improved correlation."
140748,1407,165.3,Liriodendron tulipifera,6/10/10,JT,7/6/10,CL,8/24/10,JM,12/9/10,JM,70,1,0,"8/24/10, JM: 70 rings, 2009-1940; 12/9/10, JM: suggested missing rings between 1957-1942, but can't find it. However, very narrow rings from 1981-2009, maybe throwing off total correlation?"
110914,1105,543.9,Liriodendron tulipifera,6/8/10,JB,UNK,JM,8/23/10,JM,,,85,1,1,"8/23/10, JM: 85 rings, 2009-1925. Apparently the core wasn't lost, just never entered into the datasheet. Labelled the first sample ""A"" and the second sample ""B""."
110914,1105,543.9,Liriodendron tulipifera,8/9/10,JM,8/25/10,JM,10/6/10,JM,,,87,1,1,"8/25/10, JM: See 110914A; 10/6/10, JM: 87 rings, 2009-1923."
50300,506,173.2,Nyssa sylvatica,6/14/10,CL,6/22/10,JM,,,,,,,0,
50415,506,155,Nyssa sylvatica,6/14/10,JM,6/18/10,JM,10/4/10,JM,,,83,,0,"10/4/10, JM: 83 rings, 2009-1927. Last ring counted may not be the last ring to the center, looks like I am missing a chunk."
50416,506,432.9,Nyssa sylvatica,6/14/10,JM,6/28/10,JM,10/5/10,JM,,,248,,0,"10/5/10, JM: 248 rings, 2009-1762."
60275,604,171.5,Nyssa sylvatica,6/15/10,CL,7/7/10,JM,,,,,,,0,
70428,710,200.2,Nyssa sylvatica,6/2/10,JM,7/13/10,CL,,,,,,,0,"6/2/10, JM: no bark, had difficulty getting core out. Piece in front should be last."
80085,803,447.3,Nyssa sylvatica,6/15/10,JM,6/22/10,JM,10/4/10,JM,,,334,,0,"10/4/10, JM: 334 rings, 2009-1676."
80177,804,350.6,Nyssa sylvatica,6/15/10,JM,7/1/10,HB,,,,,,,0,
80284,806,179.8,Nyssa sylvatica,6/15/10,JM,6/21/10,JM,,,,,,,0,
80559,813,432.3,Nyssa sylvatica,6/1/10,JT,7/12/10,JM,10/4/10,JM,,,149,,0,"10/4/10, JM: 149 rings, 2009-1861. I officially hate NYSY- this core took me over a half day to measure."
80610,810,402,Nyssa sylvatica,8/5/10,JM,8/10/10,JM,,,,,,,0,Cored originally 6/2/10 by JB.
80630,811,178.4,Nyssa sylvatica,6/3/10,JM,7/12/10,CL,,,,,,,0,
80714,810,199.9,Nyssa sylvatica,6/2/10,JM,7/12/10,JM,,,,,,,0,
90068,902,176,Nyssa sylvatica,6/11/10,JM,6/30/10,JM,,,,,,,0,
90185,904,181.6,Nyssa sylvatica,6/11/10,JG,6/18/10,JM,,,,,,,0,"6/11/10, JM: hollow tree, only small core collected."
90484,906,179.4,Nyssa sylvatica,6/14/10,MH,6/18/10,JM,,,,,,,0,
100147,1002,230,Nyssa sylvatica,6/14/10,MH,7/6/10,CL,,,,,,,0,
100795,1006,214.5,Nyssa sylvatica,6/14/10,MH,6/21/10,JM,,,,,,,0,
100818,1005,210.6,Nyssa sylvatica,6/14/10,MH,6/21/10,JM,,,,,,,0,
100832,1006,326.7,Nyssa sylvatica,NA,NA,NA,NA,NA,NA,,,NA,,0,"6/14/10, MH: dead snag."
100834,1006,211.4,Nyssa sylvatica,6/14/10,MH,6/18/10,JM,10/4/10,JM,,,84,,0,"10/4/10, JM: 84 rings, 2009-1926."
101005,1006,623.2,Nyssa sylvatica,NA,NA,NA,NA,NA,NA,,,NA,,0,"6/14/10, MH: hollow?"
101016,1006,445.6,Nyssa sylvatica,6/14/10,MH,6/18/10,JM,,,,,,,0,
101019,1006,337.8,Nyssa sylvatica,6/14/10,MH,6/21/10,JM,,,,,,,0,
121190,1210,208,Nyssa sylvatica,6/7/10,JM,6/28/10,JM,,,,,,,0,
121295,1210,178.9,Nyssa sylvatica,6/4/10,JM,7/12/10,JM,,,,,,,0,
121298,1211,575.1,Nyssa sylvatica,6/7/10,JM,7/7/10,JM,,,,,,,0,"6/7/10, JM: Unable to reach center of sample because of rotting wood."
121299,1211,181,Nyssa sylvatica,NA,NA,NA,NA,NA,NA,,,NA,,0,"6/7/10, JM: Tree is dead and less than 15 cm DBH."
131102,1309,306.9,Nyssa sylvatica,6/8/10,JM,7/12/10,JM,,,,,,,0,
40495,405,839.3,Quercus alba,NA,NA,NA,NA,NA,NA,,,NA,NA,0,"6/14/10, JM: dead tree."
50234,504,261.3,Quercus alba,6/15/10,KL,6/28/10,JM,9/10/10,JM,10/28/10,JM,87,1,0,"9/10/10, JM: 84 rings, 2009-1926. There is a crack in ring 1, I don't believe there are any rings within that crack; 10/28/10, JM: Re-measured. 87 rings, 2009-1923. Correlation improved, but not by much- there is something off in the first 10 years. There may be missing rings- the first piece of wood is broken, may have lost rings."
50310,505,185.5,Quercus alba,NA,NA,NA,NA,NA,NA,,,NA,NA,0,"6/14/10, JM: dead snag."
50314,505,417.2,Quercus alba,6/14/10,CL,7/1/10,HB,9/10/10,JM,10/28/10,JM,134,1,0,"9/10/10, JM: 134 rings, 2009-1876; 10/28/10, JM: Re-measured. 135 rings, 2009-1875. Still off by -2 according to COFECHA, but now have a correlation of .41; 11/9/10, JM: Re-measured, again. 134 rings, 2009-1876. Fantastic correlation. Woo-hoo!"
50322,506,496.4,Quercus alba,6/14/10,CL,6/18/10,JM,9/10/10,JM,11/9/10,JM,128,1,0,"9/10/10, JM: 129 rings, 2009-1881; 11/9/10, JM: 128 rings, 2009-1882. Re-measured core, removed a false ring, improved correlation. Still a B marker, but ignoring, because of the irregularly small rings that grew around 1910."
50426,507,317,Quercus alba,6/16/10,JM,7/1/10,HB,9/10/10,JM,11/9/10,JM,138,1,0,"9/10/10, JM: 137 rings, 2009-1873; 11/9/10, JM: 138 rings, 2009-1972. Re-measured core. Although cofecha is still suggesting changes, they are all minor improvements on correlation."
50455,508,318.1,Quercus alba,6/16/10,JM,6/23/10,HB,9/10/10,JM,11/1/10,JM,85,1,0,"9/10/10, JM: 85 rings, 2009-1925; 11/01/10, JM: re-measured core, improved correlation, but not markedly- there is a narrow 1979 (not 1980) ring, which makes me think there may be a false ring, but I can't find it. "
60060,603,235.2,Quercus alba,6/15/10,KL,6/28/10,JM,9/13/10,JM,12/1/10,JM,124,1,0,"9/13/10, JM: 125 rings, 2009-1885. Ring 7 is a partial, visible at the top of the core. Scarring around ring 81. Ring 80 and 81 visible at the bottom of the core; 12/1/10, JM: Cannot find this ring 7 anymore, removed it."
60078,604,575.9,Quercus alba,6/15/10,KL,7/12/10,CL,10/12/10,JM,,,114,1,0,"10/12/10, JM: 114 rings, 2009-1896."
60121,606,683.2,Quercus alba,6/15/10,CL,6/30/10,JM,10/13/10,JM,,,133,1,0,"10/13/10, JM: 133 rings, 2009-1877."
60315,606,524.8,Quercus alba,6/15/10,CL,7/1/10,HB,9/9/10,JM,,,78,1,0,"9/9/10, JM: 78 rings, 2009-1932."
60331,607,427.1,Quercus alba,6/15/10,CL,6/30/10,JM,9/10/10,JM,11/9/10,JM,121,1,0,"9/10/10, JM: 120 rings, 2009-1890; 11/9/10, JM: 121 rings, 2009-1889. Improve correlation, still off, but I think it has to do with small segments of rings."
60377,609,430.9,Quercus alba,6/16/10,DC,7/7/10,JM,9/9/10,JM,10/27/10,JM,115,0,0,"9/9/10, JM: 115 rings, 2009-1895; 10/27/10, JM: re-measured, years between 1949-35 flagged for an added ring. Core still flagged with ""A""."
70069,703,654.3,Quercus alba,6/15/10,CL,7/1/10,HB,9/9/10,JM,10/27/10,JM,131,1,0,"9/9/10, JM: 130 rings, 2009-1880; 10/27/10, JM: re-measured, 131 rings. Although there was higher correlation with the previous measurement, went with new measurement because ring count was more accurate. However, the period of 1912-1904 is an unusually small band of rings, likely what cofecha is responding to."
70371,708,564,Quercus alba,6/15/10,KL,7/1/10,HB,10/13/10,JM,,,113,0,0,"10/13/10, JM: 113 rings, 2009-1897."
70471,712,343.4,Quercus alba,6/1/10,DC,7/12/10,JM,9/9/10,JM,10/28/10,JM,135,1,0,"9/9/10, JM: 132 rings, 2009-1878; 10/28/10, JM: 135 rings, 2009-1875. Re-measuring increased the correlation, but I still cannot find a missing ring in the last 30 years."
70519,711,334.4,Quercus alba,6/2/10,JB,6/30/10,JM,9/13/10,JM,10/28/10,JM,115,1,0,"9/13/10, JM: 114 rings, 2009-1896. First section of core mounted incorrectly, I can see no rings, and so I assume the first ring is on the second piece of core; 10/28/10, JM: Re-measured core. I disagree with my previous statement, I do see one ring in the first piece of core. 115 rings, 2009-1895. There is a B error remaining, but only with a greater significance of .01"
70535,711,382.3,Quercus alba,6/2/10,JB,6/17/10,JM,9/10/10,JM,11/1/10,JM,92,1,0,"9/10/10, JM: 93 rings, 2009-1917; 11/01/10, JM: Re-measured core, had worst results, so did not keep edit. Core in great condition, but there may be some warped areas from scarring (even if rings are visible). Poor core for crossdating?; 11/09/10, JM: Re-measured core, 92 rings instead. Still poor correlation, but I think that's just the core."
70536,711,564.5,Quercus alba,6/2/10,JM,7/12/10,CL,10/12/10,JM,,,113,1,0,"10/12/10, JM: 113 rings, 2009-1897."
70550,712,165.2,Quercus alba,NA,NA,NA,NA,NA,NA,,,NA,NA,0,"6/1/10, JM: could not find tree."
70559,712,585.1,Quercus alba,6/1/10,JM,6/17/10,JM,9/9/10,JM,10/27/10,JM,115,0,0,"9/9/10, JM: 115 rings, 2009-1895; 10/27/10, JM: Re-measured, was a worse correlation, saved re-measured data under In_Fence_SIGEO_2010_QUAL_70559.raw. Kept original output, did not see any missing rings in the 1900-1895 area."
80089,804,512.1,Quercus alba,6/15/10,CL,7/12/10,CL,10/13/10,JM,,,128,1,0,"10/13/10, JM: 128 rings, 2009-1882."
80371,807,306.2,Quercus alba,6/15/10,CL,7/12/10,JM,9/9/10,JM,,,85,1,0,"9/9/10, JM: 85 rings, 2009-1925."
80423,808,193.5,Quercus alba,NA,NA,NA,NA,NA,NA,,,NA,NA,0,"6/16/10, JM: Dead, fallen tree."
80451,808,531.4,Quercus alba,6/16/10,JM,6/17/10,JM,9/10/10,JM,,,115,1,0,"9/10/10, JM: 115 rings, 2009-1895."
80540,813,167.8,Quercus alba,6/3/10,JM,7/12/10,CL,9/13/10,JM,12/1/10,JM,80,1,0,"9/13/10, JM: 82 rings, 2009-1928; 12/1/10, JM: 80 rings, 2009-1930. Removed second ring, hard to distinguish rings because of a break in the wood."
80745,812,600.6,Quercus alba,6/3/10,JM,6/17/10,JM,9/9/10,JM,10/28/10,JM,138,1,0,"9/9/10, JM: 136 rings, 2009-1874; 10/28/10, JM: re-measured. 138 rings, 2009-1873. Found ring in the pith section of the core."
90130,903,158,Quercus alba,8/9/10,JM,8/29/10,JM,10/5/10,JM,11/1/10,JM,84,1,0,"Originally cored 6/11/10 by JG. 10/5/10, JM: 83 rings, 2009-1927; 11/1/10, JM: 84 rings, 2009-1926. Re-measured core, improved correlation, but only to .361. The first 30 rings are very narrow- however, 1980 ring is the first really narrow one."
90273,903,164.5,Quercus alba,6/11/10,JG,6/17/10,JM,9/9/10,JM,10/27/10,JM,88,1,0,"9/9/10, JM: 83 rings, 2009-1927; 10/27/10, JM: Re-measured. 88 rings, 2009-1922. However, still a -2 shift recommend, and a +3. Can't find any missing/addition false rings, so ignoring for the time being; 11/12/10, JM: looked AGAIN, because of the -2 shift- I can't find anything!"
90283,903,462,Quercus alba,6/11/10,JM,6/18/10,JM,9/10/10,JM,10/27/10,JM,85,0,0,"9/10/10, JM: 84 rings, 2009-1926; 10/28/10, JM: Re-measured. Included a ring boundary at the bark end of the core that I hadn't seen before, improved correlation."
90546,911,639.8,Quercus alba,6/1/10,JM,6/17/10,JM,9/9/10,JM,,,109,0,0,"9/9/10, JM: 109 rings, 2009-1901."
90558,912,401.9,Quercus alba,6/9/10,DC,7/12/10,JM,9/9/10,JM,10/27/10,JM,123,1,0,"9/9/10, JM: 123 rings, 2009-1887; 10/27/10, JM: re-measured. First 30 years are very narrow. Still fairly low correlation, but no obviousl places for missing rings. "
100990,1011,613.1,Quercus alba,6/3/10,JM,6/17/10,JM,9/9/10,JM,,,139,1,0,"9/9/10, JM: 139 rings, 2009-1871."
101212,1012,694.3,Quercus alba,6/1/10,JT,6/18/10,JM,9/10/10,JM,,,119,0,0,"9/10/10, JM: 119 rings, 2009-1891. Incomplete ring in 34."
110870,1106,205,Quercus alba,6/8/10,JB,7/12/10,JM,9/9/10,JM,10/28/10,JM,101,1,0,"9/9/10, JM: 101 rings, 2009-1909; 10/28/10, JM: irregular ring sizes are messing with the correlation with this core."
40464,404,198.8,Quercus prinus,6/14/10,JM,6/18/10,JM,9/7/10,JM,11/4/10,JM,124,1,0,"9/7/10, JM: 120 rings, 2009-1890; 11/4/10, JM: 124 rings, 2009-1886. Ring 31 and 32 are narrow. Ring 66 narrow. Re-measured, correlation still poor, with a little improvement."
40529,405,481.2,Quercus prinus,6/14/10,JM,6/18/10,JM,9/7/10,JM,,,111,1,0,"9/7/10, JM: 111 rings, 2009-1899."
40538,405,519.5,Quercus prinus,6/14/10,CL,6/18/10,JM,9/7/10,JM,,,72,1,0,"9/7/10, JM: 72 rings, 2009-1938."
50323,506,543,Quercus prinus,6/14/10,JM,7/1/10,HB,9/7/10,JM,,,67,0,0,"9/7/10, JM: 67 rings, 2009-1943."
50367,508,189.3,Quercus prinus,6/16/10,JM,6/18/10,JM,9/10/10,JM,,,83,1,0,"9/10/10, JM: 83 rings, 2009-1927."
50434,507,122,Quercus prinus,3/8/11,MF,3/10/11,DS,4/4/11,JM,6/8/11,JM,78,1,0,"4/4/11, JM: 78 rings, 2009-1932."
50440,507,103.2,Quercus prinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/8/11, MF: Dead stem."
50448,508,110.1,Quercus prinus,3/8/11,CK,3/10/11,DS,4/5/11,JM,,,67,1,0,"4/5/11, JM: 67 rings, 2009-1943."
60161,608,845.9,Quercus prinus,10/19/10,CL,10/25/10,CL,10/29/10,JM,,,133,1,0,"10/29/10, JM: 133 rings, 2009-1877. Tree recored because it was mounted improperly."
60187,609,592.3,Quercus prinus,6/16/10,DC,7/6/10,CL,10/13/10,JM,,,94,1,0,"6/16/10, DC: may have missed the center, cored at slightly off center angle; 10/13/10, JM: 94 rings, 2009-1916."
60318,606,327.6,Quercus prinus,NA,NA,NA,NA,NA,NA,,,NA,NA,0,"6/15/10, CL: dead tree."
60327,607,462.8,Quercus prinus,6/15/10,CL,6/30/10,JM,9/9/10,JM,11/30/10,JM,48,0,0,"6/15/10, CL: rotten core, stopped boring. 9/9/10, JM: 63 rings, 2009-1947. The last 15 rings were on rough wood I couldn't sand anymore, and so may be inaccurate number of rings; 11/30/10, JM: 48 rings, 2009-1962. Last 15 rings messing up correlation, removed them from analysis."
60333,607,361.2,Quercus prinus,6/15/10,CL,7/6/10,CL,9/7/10,JM,,,85,1,0,"9/7/10, JM: 85 rings, 2009-1925."
60348,608,481.4,Quercus prinus,6/15/10,CL,6/30/10,JM,9/1/10,JM,,,120,1,0,"9/1/10, JM: 120 rings, 2009-1890; 11/16/10, JM: R not responding to core!"
70083,704,541.1,Quercus prinus,6/15/10,CL,7/12/10,CL,10/13/10,JM,,,128,1,0,"10/13/10, JM: 128 rings, 2009-1882."
70148,706,104,Quercus prinus,3/7/11,NP,3/10/11,DS,4/4/11,JM,8/3/11,JM,63,1,0,"4/4/11, JM: 64 rings, 2009-1946; 8/3/11, JM: Odd core, couldn't improve correlation by much."
70184,708,138,Quercus prinus,3/8/11,CK,3/10/11,AT,3/28/11,JM,8/3/11,JM,51,1,0,"3/28/11, JM: 53 rings, 2009-1959."
70198,708,130.6,Quercus prinus,3/8/11,CK,3/10/11,DS,4/4/11,JM,,,107,0,0,"4/4/11, JM: 107 rings, 2009-1903."
70308,705,599.5,Quercus prinus,6/15/10,JM,6/18/10,JM,9/9/10,JM,,,85,0,0,"6/15/10, JM: core got stuck in borer. Tried to extract all of core, a little got lost in the middle; 9/9/10, JM: 85 rings, 2009-1925. I think this core was mounted upside down, because the bark is on the pith end of the core. Measured it in this direction. There is more core after ring 85, but the majority is so badly scarred, I can't distinguish rings accurately."
70334,706,584.4,Quercus prinus,6/15/10,KL,6/21/10,JM,9/7/10,JM,11/1/10,JM,88,0,0,"9/7/10, JM: 88 rings, 2009-1922. Both section of core after ring 78 mounted backwards; 11/1/10, JM: Re-measured core, help correlation slightly."
70444,711,265.9,Quercus prinus,6/2/10,JB,7/13/10,CL,9/7/10,JM,11/16/10,JM,116,1,0,"9/7/10, JM: 116 rings, 2009-1894; 11/16/10, JM: re-measured, correlation remain the same."
80230,805,346.6,Quercus prinus,6/15/10,JM,7/6/10,CL,9/9/10,JM,11/2/10,JM,110,1,0,"9/9/10, JM: 110 rings, 2009-1900; 11/2/10, JM: re-measured. Improved correlation minorly- first 20 years narrow, but the 1980 year seems to line up well."
80437,808,259.3,Quercus prinus,6/16/10,JM,6/18/10,JM,9/7/10,JM,11/30/10,JM,95,1,0,"9/7/10, JM: 96 rings, 2009-1914. Rings 4, 7, and 14 are narrow; 11/4/10, JM: 99 rings, 2009-1911. Ring 34 narrow; 11/30/10, JM: 95 rings, 2009-1915. All of those rings I thought were true are In fact, false."
80458,808,655.3,Quercus prinus,6/16/10,JM,6/17/10,JM,9/7/10,JM,11/16/10,JM,112,1,0,"9/7/10, JM: 113 rings, 2009-1897. Ring 63 is narrow, so random in the core, tempted to call it a false ring. But, there is a complete column of narrow cells, so calling it a true ring; 11/16/10, JM: 112 rings, 2009-1898. Decided 63 was indeed a false ring, removed it from chronology, significantly improved correlation. Hooray!"
80465,808,127.1,Quercus prinus,3/8/11,JG2,3/10/11,TB,4/4/11,JM,8/3/11,JM,83,0,0,"4/4/11, JM: 83 rings, 2009-1927; 8/3/11, JM: Remeasured, still low correlation."
80663,812,138.9,Quercus prinus,3/8/11,RO,3/10/11,RO,4/5/11,JM,,,48,0,0,"4/5/11, JM: 48 rings, 2009-1962."
90544,911,180.9,Quercus prinus,6/3/10,MB,7/7/10,JM,9/9/10,JM,,,78,1,0,"9/9/10, JM: 78 rings, 2009-1932. Difficult to see the first 10 rings, ring boundaries estimated by the vessel cells."
90653,912,422.6,Quercus prinus,6/1/10,JM,6/17/10,JM,9/7/10,JM,11/2/10,JM,110,1,0,"6/1/10, JM: broken into two pieces in front; 9/7/10, JM: 110 rings, 2009-1900; 11/02/10, JM: correlation improved, but minorly. Narrow rings around 1933-1927 narrow, which I think is messing up the correlation."
100942,1009,274.7,Quercus prinus,8/5/10,JM,8/10/10,JM,10/6/10,JM,,,86,0,0,"Cored originally on 6/16/10 by AC; 10/6/10, JM: Did not get to center of tree."
101075,1008,352.1,Quercus prinus,6/16/10,AC,6/25/10,JM,9/10/10,JM,11/2/10,JM,91,0,0,"9/10/10, JM: 93 rings, 2009-1917; 11/02/10, JM: 92 rings, 2009-1918. False ring in 8. Improved core to a positive correlation, but still very poor. Putting to the side for now- believe tree just grew irregularly; 11/30/10, JM: 91 rings, 2009-1919. There was such a large difference in correlations by removing a ring, I combined originally ring 5 and 6- it was along a crack, and I believe it was one ring instead of two. Increased correlation from 0.02 to 0.22."
101121,1011,112.2,Quercus prinus,3/8/11,JG2,3/10/11,RO,4/5/11,JM,8/4/11,,70,1,0,"4/5/11, JM: 70 rings, 2009-1940."
111038,1107,395,Quercus prinus,NA,NA,NA,NA,NA,NA,,,NA,NA,0,"6/8/10, JB: Dead."
111172,1110,313,Quercus prinus,6/4/10,JM,7/12/10,JM,9/1/10,JM,,,114,1,0,"9/1/10, JM: 114 rings, 2009-1896."
111173,1111,209.4,Quercus prinus,6/4/10,JM,7/12/10,JM,9/1/10,JM,11/1/10,JM,81,1,0,"9/1/10, JM: 81 rings, 2009-1929; 11/1/10, JM: Re-measured core, improved correlation, but not by much. Cofecha highlights 1960-1970 as the most ""off"" years, but there is nothing abnormal about these years to explain the low correlation. However, there are two periods of slow growth in this core."
121254,1208,406.4,Quercus prinus,6/10/10,JM,6/30/10,JM,9/1/10,JM,,,117,1,0,"9/1/10, JM: 117 rings, 2009-1893."
131084,1310,242.1,Quercus prinus,NA,NA,NA,NA,NA,NA,,,NA,NA,0,"6/8/10, JM: fallen tree."
131204,1311,225.4,Quercus prinus,NA,NA,NA,NA,NA,NA,,,NA,NA,0,"6/8/10, JM: fallen tree."
140764,1408,226.2,Quercus prinus,6/10/10,JT,7/1/10,HB,9/7/10,JM,,,75,1,0,"9/7/10, JM: 75 rings, 2009-1935."
70159A,706,346,Quercus prinus,6/15/10,KL,6/17/10,JM,9/7/10,JM,11/2/10,JM,82,1,0,"6/15/10, KL: this tree has two stems, very close DBH's. This core is the stem higher on the y-axis; 9/7/10, JM: 82 rings, 2009-1928; 11/2/10, JM: Improve correlation minorly."
70159B,706,341.1,Quercus prinus,6/15/10,KL,6/17/10,JM,9/9/10,JM,11/30/10,JM,65,0,0,"6/15/10, KL: this tree has two stems. This core is the stem lower on the y-axis. The straw is marked ""B"". This tree had rot, I didn't get a full core because I feared getting stuck in a soft spot. 9/9/10, JM: 64 rings, 2009-1946; 11/30/10, JM: 65 rings, 2009-1945. Second and fourth piece of core mounted backwards. Re-measure did not improve correlation."
80402,807,384.8,Quercus prinus,8/9/10,JM,8/26/10,JM,10/13/10,JM,,,93,0,1,"10/13/10, JM: 93 rings, 2009-1917. Replicate core."
80402,807,384.8,Quercus prinus,6/16/10,JM,UNK,JM,9/7/10,JM,,,85,1,1,"9/7/10, JM: 85 rings, 2009-1925. Replicate core. Mounting entry must have not been entered in original datasheets."
50274,505,506.2,Quercus rubra,6/14/10,JM,6/18/10,JM,8/13/10,JM,,,80,1,0,"8/13/10, JM: 80 rings, 2009-1930."
60116,606,367.9,Quercus rubra,6/15/10,CL,7/6/10,CL,8/16/10,JM,,,75,1,0,"8/16/10, JM: 75 rings, 2009-1935."
60143,607,267.6,Quercus rubra,6/15/10,CL,6/30/10,JM,8/17/10,JM,12/15/10,JM,86,1,0,"8/17/10, JM: 87 rings, 2009-1923. Ring 11 does not have the vessel cells as an indicator, smallest QURU ring I have seen so far, but it is a complete ring; 12/15/10, JM: 86 rings, 2009-1924. Based on the recommended 1 shift, and the lack of vessel cells, now say it is a false ring."
60345,608,214.2,Quercus rubra,6/15/10,CL,6/30/10,JM,8/17/10,JM,,,76,1,0,"8/17/10, JM: 76 rings, 2009-1934."
60353,608,396.8,Quercus rubra,6/15/10,CL,7/6/10,CL,8/17/10,JM,,,116,1,0,"8/17/10, JM: 116 rings, 2009-1894."
