plot,x,y,Total_N_mean,NH4_mean,P,pH2,pH1,Al,Ca,K,Mg,Mn,ECEC,BS
1941,305,205,5.310616625,5.385567376,17.56130809,5.782000726,5.79,0.03,17.75,0.62,4.03,0.27,22.81,98.61
1942,305,215,4.072189388,4.204542651,18.92014286,5.805266727,5.81,0.04,19.32,0.62,4.31,0.27,24.42,99.29
1943,305,225,4.109836369,4.235806043,20.3049263,5.793794239,5.79,0.04,20.50,0.61,4.55,0.26,25.57,99.61
1944,305,235,4.632229705,4.722561168,21.62601983,5.752298585,5.75,0.06,21.16,0.58,4.74,0.24,26.19,99.18
1945,305,245,3.720435779,3.959744872,22.55214363,5.621592135,5.63,0.07,20.76,0.50,4.84,0.23,26.17,98.70
1946,305,255,3.006877957,3.545275825,23.42384595,5.513227227,5.52,0.09,20.39,0.42,4.99,0.20,26.21,98.63
1947,305,265,1.751198044,3.182633631,24.36002196,5.459841262,5.45,0.11,20.42,0.35,5.18,0.17,26.31,99.25
1948,305,275,1.668195614,3.189929404,25.29451522,5.390634079,5.37,0.13,20.34,0.32,5.23,0.18,25.93,99.87
1949,305,285,2.895716484,3.680722116,26.12940867,5.277049656,5.26,0.14,19.79,0.32,5.05,0.25,24.78,99.69
1950,305,295,4.591192017,4.965851741,26.81904842,5.139721114,5.14,0.13,18.94,0.31,4.73,0.33,23.38,98.82
1951,305,305,8.152627874,8.218427801,27.31645741,4.989117057,5.01,0.12,17.54,0.31,4.30,0.44,22.00,97.90
1952,305,315,4.83609435,4.955396353,27.39414742,4.946316026,4.97,0.15,16.04,0.35,3.84,0.50,20.67,98.41
1953,305,325,3.734202444,3.903666424,27.3987768,4.90460328,4.93,0.18,14.72,0.41,3.36,0.54,19.25,98.34
1954,305,335,4.098282804,4.24344749,27.44198938,4.849948525,4.88,0.18,13.63,0.46,2.89,0.57,17.78,96.74
1955,305,345,3.364072829,3.582707863,27.18560056,4.856492666,4.90,0.18,13.30,0.47,2.64,0.61,16.87,95.69
1956,305,355,3.439015991,3.657476497,26.70207382,4.898698118,4.95,0.22,13.26,0.45,2.56,0.62,16.43,95.10
1957,305,365,4.398386917,4.576206186,26.38254568,4.964225002,5.00,0.23,13.51,0.44,2.57,0.61,16.37,95.06
1958,305,375,6.815874068,6.950543192,26.24680901,5.040859342,5.03,0.22,14.19,0.44,2.67,0.58,16.77,95.72
1959,305,385,4.539434587,4.713706892,26.08265919,5.046895612,5.00,0.19,15.41,0.42,2.85,0.51,17.66,96.89
1960,305,395,3.916235676,4.14687426,26.02399905,5.059378135,4.99,0.15,17.03,0.40,3.16,0.43,19.13,98.45
1961,305,405,5.243032693,5.648179731,25.94235361,5.081580209,5.01,0.12,18.68,0.39,3.55,0.35,20.69,98.61
1962,305,415,5.367123563,5.768437465,25.27428919,4.970209999,4.95,0.15,18.31,0.37,3.60,0.35,20.73,94.02
1963,305,425,3.880045857,4.126583238,23.98914016,4.730032464,4.78,0.30,15.54,0.36,3.21,0.40,18.81,82.78
1964,305,435,2.865557805,3.091093669,22.46206131,4.498412366,4.61,0.58,12.01,0.35,2.64,0.38,16.17,66.33
1965,305,445,1.552514192,1.680973161,20.85734557,4.320907792,4.46,0.96,8.76,0.34,2.11,0.35,13.74,51.85
1966,305,455,2.745426191,2.994872678,19.68556412,4.400291667,4.52,1.07,8.27,0.37,2.02,0.39,13.06,59.97
1967,305,465,3.310625297,3.594000287,18.51943485,4.49410914,4.58,1.07,7.82,0.39,1.90,0.44,12.31,71.08
1968,305,475,3.108569762,3.372297949,17.33337598,4.519709194,4.55,1.03,6.82,0.41,1.65,0.48,11.13,79.00
1969,305,485,1.812713834,1.954888425,16.41998832,4.398201571,4.41,1.34,5.24,0.38,1.35,0.48,9.72,73.51
1970,305,495,2.55272274,2.753383762,15.73029902,4.258710461,4.24,2.17,3.79,0.31,1.09,0.45,8.55,59.21
1971,305,505,3.633155017,3.896142598,15.13034816,4.155760055,4.13,2.80,2.81,0.25,0.90,0.40,7.69,45.75
1972,305,515,3.977375217,4.234597427,14.75731875,4.07379381,4.05,2.81,2.37,0.21,0.79,0.37,7.17,35.44
1973,305,525,4.208228891,4.449188919,14.92872801,4.079641466,4.04,2.39,2.89,0.23,0.87,0.40,7.39,40.88
1974,305,535,4.717311315,4.92490573,15.25385939,4.111481917,4.07,1.71,3.73,0.27,1.06,0.42,7.99,49.22
1975,305,545,6.54725213,6.719894025,15.60115093,4.123412296,4.12,1.10,4.52,0.31,1.26,0.41,8.73,55.70
1976,305,555,6.723397898,6.885457639,15.98245374,4.276314107,4.27,0.52,5.53,0.31,1.52,0.43,9.66,65.39
1977,305,565,5.216784066,5.393126575,16.38371056,4.561686161,4.53,0.20,6.95,0.29,1.83,0.47,10.73,77.84
1978,305,575,5.322684711,5.482771724,16.79932875,4.797409708,4.79,0.09,8.17,0.25,2.07,0.47,11.61,86.78
1979,305,585,6.073597113,6.165025853,17.23438175,4.994012982,5.02,0.05,9.22,0.22,2.29,0.46,12.45,92.93
1980,305,595,5.342713226,5.512555962,17.62181998,5.168628336,5.22,0.03,10.33,0.19,2.46,0.44,13.45,95.56
1981,305,605,4.407171628,4.576994583,17.97215741,5.300543395,5.33,0.03,11.14,0.16,2.55,0.42,14.28,96.95
1982,305,615,4.502218174,4.578601942,18.26527563,5.333008528,5.35,0.03,11.36,0.13,2.52,0.41,14.66,97.47
1983,305,625,6.091434305,6.205391433,18.45243142,5.330816992,5.34,0.03,11.18,0.13,2.46,0.41,14.73,97.22
1984,305,635,5.911005117,6.089326305,18.5850572,5.386556139,5.38,0.05,11.16,0.17,2.39,0.41,14.70,96.69
1985,315,5,5.73175231,5.846014249,11.73631332,5.58166706,5.58,0.02,13.90,0.78,2.99,0.42,17.97,97.11
1986,315,15,4.736502982,4.907350096,11.69181338,5.465174516,5.46,0.02,12.94,0.70,2.91,0.45,17.44,96.29
1987,315,25,3.707701979,3.897548335,11.70632901,5.396718616,5.40,0.02,12.32,0.66,2.95,0.46,17.26,95.96
1988,315,35,4.377984144,4.5706397,11.85672784,5.438997078,5.44,0.02,12.35,0.71,3.18,0.44,17.69,96.32
1989,315,45,4.932255112,5.096677769,12.08094077,5.527273976,5.53,0.02,12.68,0.81,3.51,0.40,18.36,97.03
1990,315,55,4.868483645,5.012098257,12.33621715,5.611720019,5.62,0.02,13.10,0.91,3.88,0.36,18.99,97.76
1991,315,65,4.392417344,4.540453301,12.59480057,5.669054225,5.68,0.02,13.66,0.95,4.21,0.33,19.43,98.29
1992,315,75,4.316577312,4.487130998,12.83584012,5.665282557,5.68,0.02,14.13,0.92,4.42,0.33,19.56,98.45
1993,315,85,4.398780805,4.570810191,12.9994935,5.626689773,5.63,0.02,14.18,0.84,4.47,0.34,19.24,98.35
1994,315,95,4.272005346,4.438445426,13.05233237,5.629965624,5.57,0.02,13.84,0.74,4.35,0.34,18.70,98.26
1995,315,105,4.158244675,4.361829398,13.02934762,5.725805108,5.55,0.02,13.24,0.64,4.11,0.32,18.21,98.39
1996,315,115,4.07799093,4.291369823,13.03905091,5.777350866,5.55,0.02,12.65,0.58,3.91,0.30,17.95,98.56
1997,315,125,4.038906648,4.219407608,13.16819224,5.742948226,5.57,0.03,12.44,0.55,3.80,0.28,17.96,98.64
1998,315,135,3.974050155,4.1512775,13.47749583,5.706466813,5.60,0.04,12.61,0.55,3.76,0.28,18.18,98.41
1999,315,145,3.930534407,4.127387174,13.96502177,5.692730669,5.63,0.05,13.09,0.56,3.78,0.30,18.60,97.99
2000,315,155,3.771992533,3.968976505,14.52592551,5.695767852,5.67,0.05,13.77,0.58,3.82,0.32,19.13,97.69
2001,315,165,3.563755406,3.748569103,15.15834301,5.713599397,5.73,0.05,14.59,0.59,3.88,0.33,19.76,97.45
2002,315,175,3.67718145,3.873634575,15.89194198,5.742688559,5.79,0.05,15.61,0.60,3.91,0.32,20.59,97.30
2003,315,185,3.893012683,4.080262296,16.70909684,5.769310028,5.83,0.05,16.62,0.61,3.94,0.30,21.50,97.34
2004,315,195,4.312459567,4.469463879,17.61451555,5.789487638,5.83,0.04,17.50,0.62,4.00,0.28,22.45,97.60
2005,315,205,4.221415253,4.383330872,18.68697497,5.795272176,5.81,0.04,18.50,0.61,4.11,0.27,23.61,98.31
2006,315,215,3.761645622,3.955388272,19.89392114,5.755166255,5.76,0.04,19.43,0.59,4.29,0.27,24.76,99.18
2007,315,225,3.694747386,3.896222865,21.13969838,5.691635636,5.70,0.05,20.06,0.57,4.48,0.26,25.57,99.49
2008,315,235,3.779407865,3.982906951,22.31901345,5.617841433,5.63,0.06,20.36,0.53,4.63,0.25,25.87,99.18
2009,315,245,3.47769677,3.745071469,23.30889611,5.525240969,5.54,0.07,20.16,0.47,4.73,0.23,25.84,99.04
2010,315,255,3.140113219,3.578012731,24.21248691,5.449222335,5.45,0.08,19.72,0.41,4.82,0.21,25.83,99.45
2011,315,265,2.691566981,3.493893271,25.08917577,5.39792911,5.37,0.10,19.28,0.36,4.90,0.18,25.72,100.26
2012,315,275,2.673804234,3.496130986,25.90542502,5.332284274,5.28,0.12,18.83,0.34,4.84,0.20,24.95,100.51
2013,315,285,3.173942443,3.651960082,26.61611493,5.235588024,5.18,0.14,18.29,0.34,4.60,0.26,23.44,99.80
2014,315,295,3.912595908,4.186867996,27.17136276,5.120449483,5.08,0.16,17.43,0.34,4.26,0.36,21.78,98.41
2015,315,305,4.755438215,4.922733446,27.51200552,5.001785472,4.98,0.18,16.02,0.35,3.90,0.46,20.26,97.10
2016,315,315,4.009012873,4.191609233,27.56893474,4.916132348,4.91,0.22,14.51,0.38,3.50,0.54,18.86,96.73
2017,315,325,3.568122035,3.774515287,27.51876618,4.838967916,4.85,0.27,13.26,0.43,3.09,0.60,17.51,96.29
2018,315,335,3.776288575,3.970258146,27.43055175,4.776405398,4.80,0.29,12.24,0.47,2.72,0.63,16.27,95.24
2019,315,345,3.52947549,3.75434535,27.1434474,4.77797248,4.81,0.29,11.83,0.47,2.49,0.65,15.55,94.69
2020,315,355,3.374832795,3.617330008,26.6908873,4.834713106,4.87,0.30,11.88,0.46,2.42,0.64,15.31,94.65
2021,315,365,3.765950455,3.989712648,26.31984643,4.917340103,4.93,0.28,12.33,0.45,2.45,0.60,15.50,95.64
2022,315,375,4.359800341,4.563804018,26.11742918,4.998486274,4.98,0.24,13.42,0.44,2.60,0.55,16.17,96.85
2023,315,385,3.873175643,4.093885371,26.06777689,5.043013034,5.00,0.20,15.25,0.42,2.84,0.48,17.41,98.13
2024,315,395,3.683550759,3.931935092,26.16224501,5.073428858,5.03,0.17,17.64,0.41,3.21,0.41,19.28,99.40
2025,315,405,4.208243859,4.493502763,26.20137309,5.078837543,5.04,0.15,19.74,0.40,3.63,0.37,21.16,99.49
2026,315,415,4.652232903,4.914616967,25.83108797,4.979362955,4.98,0.19,20.05,0.39,3.81,0.39,21.83,96.75
2027,315,425,4.635518932,4.864448979,24.94381233,4.79462175,4.85,0.31,18.10,0.38,3.61,0.44,20.74,89.02
2028,315,435,3.448511887,3.762907038,23.67024601,4.657593757,4.75,0.54,15.11,0.37,3.17,0.41,18.58,75.33
2029,315,445,2.795580968,3.133885337,22.3143656,4.573597724,4.67,0.84,12.28,0.37,2.74,0.37,16.53,65.75
2030,315,455,3.114060316,3.464917275,21.11680185,4.609060349,4.68,1.06,10.91,0.39,2.51,0.39,15.37,68.85
2031,315,465,3.404480179,3.72746765,19.9636388,4.669534256,4.69,1.18,9.80,0.41,2.30,0.41,14.29,76.59
2032,315,475,3.339659837,3.631113289,18.84689788,4.663966622,4.64,1.28,8.30,0.43,2.00,0.43,12.87,80.96
2033,315,485,2.974421195,3.229408488,17.91217183,4.536311484,4.50,1.67,6.46,0.40,1.64,0.44,11.19,75.48
2034,315,495,3.218365502,3.484635883,17.16522082,4.346996928,4.32,2.42,4.71,0.33,1.30,0.43,9.64,62.27
2035,315,505,3.702995662,3.985837309,16.57490211,4.173434877,4.15,2.93,3.46,0.27,1.05,0.41,8.50,49.07
2036,315,515,3.947074701,4.223000325,16.25349451,4.07283151,4.05,2.66,2.99,0.24,0.92,0.39,7.92,41.56
2037,315,525,4.16786458,4.427362186,16.30059894,4.105590554,4.07,1.87,3.42,0.26,1.00,0.41,8.06,45.51
2038,315,535,4.598532838,4.819886899,16.54495068,4.224286728,4.18,1.05,4.47,0.30,1.25,0.42,8.75,55.76
2039,315,545,5.500886635,5.658413719,16.8521087,4.374003022,4.33,0.50,5.86,0.33,1.58,0.42,9.76,67.11
2040,315,555,5.661456814,5.809698726,17.17454839,4.538860519,4.50,0.23,7.10,0.33,1.90,0.43,10.76,77.03
2041,315,565,5.080439503,5.274887528,17.49504256,4.708403307,4.68,0.12,8.13,0.30,2.13,0.45,11.64,84.81
2042,315,575,5.103673623,5.306154268,17.83695262,4.868740914,4.86,0.06,9.01,0.25,2.32,0.45,12.40,90.45
2043,315,585,5.380645579,5.567150844,18.18358341,5.017492069,5.04,0.04,9.92,0.22,2.49,0.45,13.18,94.25
2044,315,595,5.19259227,5.404114797,18.50123719,5.15565799,5.20,0.03,10.92,0.19,2.62,0.43,14.04,96.26
2045,315,605,4.885874211,5.107015484,18.79025736,5.264993998,5.30,0.03,11.69,0.17,2.70,0.42,14.78,97.17
2046,315,615,5.084279828,5.277413849,19.01473842,5.314085314,5.33,0.03,11.93,0.15,2.68,0.41,15.20,97.74
2047,315,625,5.675342007,5.866920656,19.15438513,5.334069716,5.32,0.04,11.77,0.15,2.62,0.42,15.32,97.55
2048,315,635,5.809695785,6.020410763,19.24441821,5.365760238,5.32,0.05,11.66,0.17,2.53,0.42,15.20,96.84
2049,325,5,5.905463564,6.038422429,11.95317849,5.605160837,5.59,0.02,13.69,0.83,3.06,0.41,17.99,97.47
2050,325,15,5.375335972,5.551390248,11.9373525,5.504863556,5.48,0.02,12.80,0.76,2.98,0.44,17.45,96.67
2051,325,25,4.925894938,5.130458124,11.97916201,5.453651943,5.43,0.02,12.31,0.74,3.03,0.45,17.34,96.33
2052,325,35,4.962037002,5.166580219,12.11634228,5.474872253,5.45,0.02,12.34,0.78,3.24,0.44,17.77,96.50
2053,325,45,4.989419173,5.182666995,12.32670074,5.538695463,5.52,0.02,12.73,0.85,3.56,0.41,18.52,97.02
2054,325,55,4.738911331,4.927099308,12.58149617,5.606333405,5.59,0.02,13.32,0.92,3.92,0.37,19.31,97.62
2055,325,65,4.550818469,4.74620084,12.88306693,5.655131079,5.66,0.02,14.01,0.95,4.25,0.35,19.90,98.06
2056,325,75,4.527544207,4.733681523,13.2114059,5.674089009,5.69,0.02,14.65,0.93,4.47,0.34,20.16,98.29
2057,325,85,4.388830182,4.592325206,13.50996516,5.677424976,5.68,0.02,14.90,0.87,4.55,0.32,20.07,98.39
2058,325,95,4.468486728,4.651930171,13.73329325,5.701064807,5.65,0.02,14.79,0.80,4.48,0.31,19.81,98.53
2059,325,105,4.631770554,4.811091483,13.87440581,5.759553462,5.64,0.02,14.44,0.72,4.31,0.29,19.58,98.77
2060,325,115,4.425965021,4.619853961,14.01837651,5.810750191,5.66,0.03,14.09,0.66,4.14,0.27,19.50,99.02
2061,325,125,4.298712606,4.493300201,14.25582741,5.825788501,5.70,0.04,13.96,0.62,4.04,0.25,19.61,99.11
2062,325,135,4.195410359,4.395111648,14.62953231,5.815807809,5.74,0.05,14.15,0.61,4.02,0.25,19.91,98.98
2063,325,145,4.115297949,4.326843249,15.13193446,5.800874047,5.76,0.06,14.68,0.61,4.04,0.27,20.38,98.69
2064,325,155,4.189556741,4.406273201,15.73036342,5.797796328,5.79,0.06,15.42,0.62,4.10,0.28,20.91,98.40
2065,325,165,4.270348679,4.493443181,16.4175501,5.809851833,5.83,0.07,16.29,0.63,4.16,0.29,21.54,98.05
2066,325,175,4.041526107,4.262992144,17.20732639,5.83250578,5.87,0.07,17.31,0.63,4.20,0.30,22.31,97.64
2067,325,185,3.855068425,4.071484688,18.07055393,5.86074883,5.91,0.07,18.33,0.63,4.22,0.29,23.20,97.41
2068,325,195,3.83410551,4.03781655,18.99349219,5.874638105,5.91,0.06,19.16,0.62,4.24,0.27,24.06,97.62
2069,325,205,3.740897531,3.953949499,19.98189489,5.826392149,5.84,0.06,19.73,0.60,4.26,0.27,24.81,98.24
2070,325,215,3.536983479,3.783895715,21.0240858,5.705197551,5.72,0.06,19.87,0.56,4.32,0.27,25.31,98.91
2071,325,225,3.332497711,3.608156987,22.06607739,5.558091837,5.57,0.06,19.63,0.52,4.39,0.28,25.36,98.92
2072,325,235,3.154620883,3.43359529,23.06896416,5.4382109,5.46,0.05,19.31,0.47,4.45,0.27,25.16,98.85
2073,325,245,3.192401449,3.472045387,24.07957512,5.372542838,5.39,0.06,19.10,0.43,4.51,0.25,25.06,98.99
2074,325,255,3.361074413,3.678039399,25.0157028,5.3319316,5.33,0.06,18.74,0.40,4.56,0.22,25.05,99.71
2075,325,265,3.586148781,3.961309733,25.8199873,5.294659821,5.25,0.07,18.16,0.37,4.56,0.21,24.73,100.39
2076,325,275,3.578712689,3.956452032,26.50058644,5.248395197,5.18,0.09,17.49,0.36,4.43,0.23,23.67,100.18
2077,325,285,3.38547812,3.703071654,27.03761532,5.191213287,5.11,0.13,16.85,0.37,4.16,0.29,21.98,99.07
2078,325,295,3.354369892,3.616877984,27.38908679,5.129522505,5.05,0.18,15.92,0.38,3.82,0.39,20.20,97.49
2079,325,305,3.373350976,3.605321642,27.53691917,5.047723991,4.98,0.24,14.51,0.40,3.49,0.49,18.57,96.00
2080,325,315,3.325730433,3.568641733,27.469415,4.921344133,4.89,0.33,13.02,0.42,3.15,0.58,17.14,94.68
2081,325,325,3.282330947,3.541598667,27.30748371,4.792816577,4.79,0.42,11.80,0.44,2.84,0.65,15.91,93.64
2082,325,335,3.295200801,3.559989127,27.08755949,4.706507625,4.72,0.47,10.86,0.46,2.57,0.69,14.90,92.64
2083,325,345,3.25562671,3.529130679,26.73751589,4.693531241,4.72,0.48,10.43,0.46,2.36,0.69,14.28,92.25
2084,325,355,3.192466875,3.471939029,26.26087684,4.747478809,4.77,0.42,10.37,0.45,2.25,0.65,14.03,92.51
2085,325,365,3.140845817,3.409814717,25.8037964,4.831905465,4.83,0.34,10.82,0.43,2.27,0.58,14.24,94.30
2086,325,375,3.10775062,3.359556864,25.53737959,4.917306008,4.88,0.26,12.04,0.42,2.43,0.51,15.02,96.57
2087,325,385,3.219331692,3.480722051,25.63885322,4.987822948,4.94,0.23,14.26,0.41,2.73,0.45,16.52,98.21
2088,325,395,3.396834668,3.667873566,26.0330474,5.045290944,5.01,0.21,17.38,0.41,3.17,0.40,18.77,99.29
2089,325,405,3.670688895,3.934928674,26.3966454,5.072428202,5.06,0.22,20.45,0.41,3.65,0.37,21.21,99.61
2090,325,415,4.063196461,4.325788036,26.40295049,5.026101696,5.05,0.25,21.98,0.40,3.99,0.39,22.76,98.25
2091,325,425,4.363636709,4.72340947,25.95648878,4.933673438,5.00,0.32,21.28,0.40,4.03,0.43,22.81,94.02
2092,325,435,3.685985214,4.352676873,25.13768798,4.888924346,4.96,0.46,19.29,0.39,3.83,0.42,21.71,86.31
2093,325,445,3.364277574,4.262267659,24.09952909,4.868300154,4.92,0.65,16.84,0.39,3.50,0.40,20.13,81.18
2094,325,455,3.412806772,4.074722779,22.93812144,4.878204479,4.89,0.89,14.71,0.41,3.16,0.40,18.50,81.17
2095,325,465,3.544647221,3.953105616,21.7782541,4.906805441,4.87,1.13,12.75,0.43,2.83,0.39,16.89,84.29
2096,325,475,3.628132389,3.933384697,20.6895827,4.892775283,4.81,1.40,10.62,0.44,2.46,0.38,15.09,85.25
2097,325,485,3.635058544,3.91677839,19.70724804,4.746436133,4.67,1.80,8.31,0.42,2.02,0.39,13.02,79.46
2098,325,495,3.676328335,3.967300115,18.88243438,4.483483755,4.44,2.35,6.11,0.36,1.59,0.40,11.01,67.53
2099,325,505,3.753331651,4.04289021,18.28815557,4.209846395,4.20,2.63,4.47,0.30,1.25,0.42,9.50,55.33
2100,325,515,3.83267943,4.109621233,17.97778694,4.047532429,4.06,2.28,3.80,0.27,1.08,0.43,8.76,49.22
2101,325,525,4.07085601,4.341170718,17.88440265,4.141424667,4.13,1.36,4.30,0.28,1.18,0.44,8.91,53.48
2102,325,535,4.471426582,4.707603937,17.99754325,4.366491372,4.33,0.61,5.66,0.32,1.50,0.45,9.76,65.25
2103,325,545,5.177854988,5.313749809,18.24656395,4.653602231,4.59,0.21,7.70,0.36,1.99,0.45,11.12,80.91
2104,325,555,5.333596819,5.462292654,18.50068977,4.829384814,4.77,0.10,9.05,0.36,2.35,0.45,12.22,90.46
2105,325,565,4.933967429,5.157123876,18.72258823,4.884876784,4.85,0.07,9.45,0.31,2.46,0.45,12.82,92.67
2106,325,575,4.915581228,5.173773424,18.96911527,4.968471523,4.95,0.04,9.89,0.26,2.58,0.44,13.40,94.42
2107,325,585,5.047276319,5.297512865,19.2122262,5.065493462,5.08,0.03,10.61,0.22,2.70,0.43,14.03,95.79
2108,325,595,5.090528529,5.33734469,19.45044728,5.170874221,5.21,0.03,11.58,0.19,2.81,0.42,14.78,96.65
2109,325,605,5.065980352,5.322164582,19.67570235,5.269845802,5.31,0.03,12.38,0.18,2.90,0.41,15.51,97.22
2110,325,615,5.085685489,5.333844763,19.86105703,5.341544934,5.36,0.04,12.68,0.17,2.91,0.40,16.01,97.91
2111,325,625,5.31789644,5.559727205,19.95854516,5.373986059,5.34,0.05,12.55,0.17,2.84,0.40,16.15,98.01
2112,325,635,5.661732025,5.905592918,19.9891244,5.379011221,5.31,0.06,12.37,0.19,2.72,0.41,15.94,97.04
2113,335,5,5.974337708,6.127419909,12.28746542,5.643852047,5.63,0.02,13.58,0.87,3.15,0.40,18.19,97.73
2114,335,15,5.244405913,5.433274005,12.27788908,5.54580907,5.52,0.02,12.69,0.81,3.06,0.43,17.57,96.87
2115,335,25,4.13496277,4.33291184,12.31704872,5.490834991,5.47,0.02,12.22,0.79,3.09,0.44,17.41,96.48
2116,335,35,4.786468281,5.012708787,12.48229711,5.515591464,5.48,0.02,12.43,0.84,3.31,0.43,17.96,96.53
2117,335,45,4.851427684,5.073332795,12.70805738,5.571000166,5.53,0.02,13.00,0.90,3.64,0.41,18.83,96.94
2118,335,55,3.901926825,4.075904367,12.96765183,5.626463699,5.60,0.01,13.75,0.94,4.01,0.38,19.74,97.50
2119,335,65,3.770075776,3.948168794,13.30788959,5.672583201,5.66,0.01,14.60,0.96,4.33,0.36,20.48,97.95
2120,335,75,4.452171495,4.678557116,13.7216392,5.704393482,5.70,0.02,15.35,0.94,4.53,0.34,20.93,98.25
2121,335,85,4.182249008,4.381667609,14.14635073,5.723841134,5.72,0.02,15.75,0.91,4.65,0.31,21.12,98.49
2122,335,95,5.381875358,5.486748124,14.53162177,5.74725369,5.73,0.02,15.83,0.85,4.67,0.29,21.21,98.73
2123,335,105,6.020260555,6.132217839,14.77550877,5.804280815,5.75,0.03,15.85,0.78,4.53,0.27,21.20,98.93
2124,335,115,4.805268752,4.980105014,15.03233613,5.866119305,5.80,0.03,15.85,0.72,4.37,0.25,21.26,99.13
2125,335,125,4.656505565,4.824676818,15.38619398,5.911090623,5.85,0.04,15.81,0.68,4.27,0.21,21.42,99.27
2126,335,135,4.525130527,4.703918932,15.83063424,5.914476574,5.88,0.05,16.03,0.66,4.25,0.21,21.82,99.27
2127,335,145,4.359978796,4.574118432,16.36105801,5.889602683,5.87,0.07,16.57,0.66,4.29,0.24,22.38,99.15
2128,335,155,5.003769811,5.233490847,17.01204377,5.87968338,5.88,0.08,17.25,0.66,4.39,0.26,22.92,98.94
2129,335,165,6.366408403,6.695709073,17.77685833,5.889141681,5.90,0.09,18.13,0.66,4.51,0.26,23.59,98.67
2130,335,175,4.808279266,5.047844482,18.68661746,5.904468047,5.92,0.09,19.28,0.65,4.53,0.28,24.43,98.20
2131,335,185,3.99183645,4.21733733,19.64596158,5.937486963,5.96,0.10,20.46,0.64,4.52,0.28,25.32,97.91
2132,335,195,3.896901902,4.072819912,20.58190645,5.973150693,5.98,0.09,21.33,0.63,4.49,0.26,26.08,98.20
2133,335,205,3.770849706,3.962702905,21.51327167,5.885454996,5.88,0.08,21.50,0.59,4.45,0.26,26.42,98.69
2134,335,215,3.459896036,3.74218827,22.4239885,5.663316988,5.68,0.07,20.84,0.53,4.41,0.28,26.20,98.82
2135,335,225,2.970434814,3.325058769,23.24002615,5.419713193,5.45,0.06,19.56,0.47,4.34,0.29,25.37,98.44
2136,335,235,2.034187329,2.329859801,23.99311365,5.234711418,5.27,0.05,18.29,0.41,4.25,0.29,24.35,98.30
2137,335,245,2.718918332,2.964412844,25.0049294,5.21814034,5.23,0.04,18.14,0.39,4.31,0.27,24.29,98.65
2138,335,255,3.621605871,3.889358867,25.94614135,5.211809508,5.20,0.05,18.01,0.38,4.35,0.25,24.31,99.29
2139,335,265,5.356828168,5.598045462,26.6520276,5.19159745,5.16,0.05,17.48,0.36,4.30,0.22,23.75,99.60
2140,335,275,5.351361807,5.591248386,27.15625208,5.161547922,5.10,0.06,16.68,0.36,4.14,0.24,22.49,98.87
2141,335,285,3.685197257,3.945909119,27.44572344,5.128717683,5.05,0.11,15.67,0.39,3.85,0.33,20.68,97.27
2142,335,295,3.142871956,3.380577432,27.54183408,5.110716011,5.03,0.19,14.47,0.42,3.48,0.43,18.76,95.70
2143,335,305,2.680051577,2.85144502,27.48645135,5.089284066,5.00,0.30,13.09,0.45,3.12,0.54,17.04,94.54
2144,335,315,3.035289828,3.281663092,27.16371338,4.897536003,4.86,0.44,11.52,0.46,2.84,0.63,15.52,92.05
2145,335,325,3.166306308,3.456476902,26.84218823,4.720818641,4.72,0.58,10.30,0.45,2.60,0.70,14.39,90.41
2146,335,335,3.180590061,3.483124318,26.57456059,4.600356362,4.62,0.66,9.38,0.45,2.40,0.76,13.56,88.98
2147,335,345,3.159260102,3.467908225,26.16540729,4.578147876,4.60,0.67,8.88,0.44,2.22,0.74,12.96,87.89
2148,335,355,3.058109888,3.367742899,25.59776817,4.644297799,4.65,0.58,8.78,0.42,2.08,0.65,12.64,87.72
2149,335,365,2.618725255,2.889835855,25.04135123,4.733733975,4.72,0.42,9.19,0.41,2.06,0.56,12.78,90.14
2150,335,375,1.817363449,1.973142801,24.66125457,4.825961251,4.79,0.28,10.30,0.40,2.19,0.47,13.49,94.19
2151,335,385,2.678950052,2.924258086,25.00001201,4.907885057,4.87,0.26,12.71,0.39,2.52,0.42,15.16,96.01
2152,335,395,3.275352018,3.564458694,25.78606737,4.996479547,4.97,0.27,16.45,0.40,3.03,0.38,17.82,97.42
2153,335,405,3.708393123,3.979883634,26.63517055,5.08566442,5.09,0.28,20.85,0.41,3.65,0.34,21.07,98.64
2154,335,415,3.868207188,4.182835133,27.03859451,5.111646265,5.15,0.29,23.79,0.42,4.14,0.34,23.55,98.51
2155,335,425,3.699901124,4.299062689,26.93330839,5.09672429,5.16,0.31,24.34,0.42,4.40,0.39,24.57,96.54
2156,335,435,3.484134154,5.184631975,26.64976582,5.120770695,5.16,0.35,23.64,0.42,4.45,0.41,24.80,94.18
2157,335,445,3.217325465,6.782440244,26.00195534,5.12863345,5.13,0.46,21.49,0.40,4.24,0.41,23.76,92.30
2158,335,455,3.45460144,4.948158118,24.91238913,5.109914168,5.07,0.64,18.79,0.42,3.81,0.41,21.72,90.80
2159,335,465,3.643756553,4.180125278,23.77414524,5.129256009,5.05,0.86,16.19,0.46,3.39,0.38,19.63,91.20
2160,335,475,3.875071748,4.137177945,22.72301815,5.167930346,5.05,1.10,13.71,0.48,2.98,0.34,17.57,91.72
2161,335,485,3.93709271,4.157234217,21.69599648,5.00261635,4.90,1.40,10.82,0.45,2.47,0.34,15.10,85.70
